"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"3 Day Parking Infraction","Parking Enforcement","13##","LANGLOIS","WARD 4","Phone","JAN 10, 2024 01:14:32 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","GLADSTONE","WARD 4","Phone","JAN 11, 2024 11:18:39 AM"
"3 Day Parking Infraction","Parking Enforcement","33##","WILDWOOD","WARD 7","Phone","JAN 29, 2024 03:32:08 PM"
"3 Day Parking Infraction","Parking Enforcement","19##","RANDOLPH","WARD 10","Phone","JAN 11, 2024 01:57:52 PM"
"3 Day Parking Infraction","Parking Enforcement","36##","ROCKWELL","WARD 1","Phone","JAN 18, 2024 09:16:22 AM"
"3 Day Parking Infraction","Parking Enforcement","36##","ROCKWELL","WARD 1","Phone","JAN 18, 2024 09:16:25 AM"
"3 Day Parking Infraction","Parking Enforcement","93##","AIRE","WARD 6","Phone","JAN 18, 2024 11:57:36 AM"
"3 Day Parking Infraction","Parking Enforcement","98##","HOLLY","WARD 7","Phone","JAN 18, 2024 01:34:18 PM"
"3 Day Parking Infraction","Parking Enforcement","8##","HALL","WARD 4","Phone","JAN 18, 2024 02:00:31 PM"
"3 Day Parking Infraction","Parking Enforcement","2##","BUCKINGHAM","WARD 6","Phone","JAN 18, 2024 03:47:19 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","ALICE ST & ALBERT RD","WARD 5","E-Mail","JAN 22, 2024 02:04:26 PM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","JAN 12, 2024 03:11:19 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 17, 2024 08:48:39 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","PARENT","WARD 4","Citizen Mobile Apps","JAN 17, 2024 10:23:20 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","OVERLAND","WARD 7","Phone","JAN 17, 2024 10:55:35 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","Phone","JAN 11, 2024 01:21:32 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Phone","JAN 11, 2024 03:16:32 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","SILVERDALE","WARD 1","Phone","JAN 15, 2024 10:39:36 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 15, 2024 02:07:13 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 11, 2024 01:23:33 PM"
"3 Day Parking Infraction","Parking Enforcement","45##","SASSAFRAS","WARD 9","Phone","JAN 09, 2024 02:50:20 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","LILLIAN","WARD 4","Phone","JAN 25, 2024 03:33:49 PM"
"3 Day Parking Infraction","Parking Enforcement","6##","ARGYLE","WARD 4","Phone","JAN 30, 2024 08:32:25 AM"
"3 Day Parking Infraction","Parking Enforcement","9##","MARION","WARD 4","Phone","FEB 29, 2024 01:49:16 PM"
"3 Day Parking Infraction","Parking Enforcement","1##","OAK","WARD 3","Phone","MAR 04, 2024 02:03:07 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","HICKORY","WARD 5","Phone","MAR 11, 2024 10:11:45 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","IVANHILL","WARD 7","Phone","MAR 11, 2024 01:15:53 PM"
"3 Day Parking Infraction","Parking Enforcement","31##","HALPIN","WARD 7","Phone","MAR 11, 2024 02:00:26 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","Citizen Mobile Apps","MAR 11, 2024 02:10:33 PM"
"3 Day Parking Infraction","Parking Enforcement","29##","RUSHTON","WARD 7","Citizen Mobile Apps","MAR 11, 2024 03:01:10 PM"
"3 Day Parking Infraction","Parking Enforcement","39##","LENNON","WARD 1","Phone","JAN 29, 2024 08:55:33 AM"
"3 Day Parking Infraction","Parking Enforcement","5##","HILDEGARDE","WARD 10","Phone","JAN 31, 2024 03:40:45 PM"
"3 Day Parking Infraction","Parking Enforcement","13##","COTTAGE","WARD 6","Phone","FEB 02, 2024 11:08:22 AM"
"3 Day Parking Infraction","Parking Enforcement","118##","COBBLESTONE","WARD 7","Phone","FEB 02, 2024 01:40:09 PM"
"3 Day Parking Infraction","Parking Enforcement","39##","BYNG","WARD 9","Phone","JAN 08, 2024 02:11:05 PM"
"3 Day Parking Infraction","Parking Enforcement"," ","OVERLAND DR & FIRGROVE DR","WARD 7","Phone","JAN 16, 2024 09:46:10 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","PIERRE","WARD 4","Phone","MAR 13, 2024 11:56:55 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","LILLIAN","WARD 4","Phone","MAR 13, 2024 12:47:19 PM"
"3 Day Parking Infraction","Parking Enforcement","19##","VENETIAN","WARD 7","E-Mail","JAN 16, 2024 10:14:27 AM"
"3 Day Parking Infraction","Parking Enforcement","1##","ELM","WARD 3","Phone","JAN 23, 2024 10:48:48 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","FIRGROVE DR & OVERLAND DR","WARD 7","Phone","JAN 19, 2024 10:48:02 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","BROCK","WARD 2","E-Mail","JAN 17, 2024 09:53:07 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","HENRY FORD CENTRE","WARD 5","Citizen Mobile Apps","JAN 22, 2024 03:45:12 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","MOY","WARD 4","Phone","FEB 02, 2024 02:18:35 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","ROXBOROUGH","WARD 10","Phone","FEB 07, 2024 12:34:11 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","Text","FEB 02, 2024 03:09:11 PM"
"3 Day Parking Infraction","Parking Enforcement","16##","FORD","WARD 8","Phone","FEB 02, 2024 03:49:40 PM"
"3 Day Parking Infraction","Parking Enforcement","16##","FORD","WARD 8","Phone","FEB 02, 2024 03:51:41 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","BROCK","WARD 2","E-Mail","FEB 07, 2024 08:39:20 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 03, 2024 09:29:10 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","RANKIN","WARD 10","Phone","JAN 03, 2024 09:55:26 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","BETHLEHEM","WARD 1","Phone","JAN 03, 2024 01:28:59 PM"
"3 Day Parking Infraction","Parking Enforcement","31##","RIBERDY","WARD 9","Phone","JAN 03, 2024 03:17:50 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","LINCOLN","WARD 4","Phone","JAN 08, 2024 09:45:05 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","DARLINGTON","WARD 6","Phone","JAN 04, 2024 09:13:31 AM"
"3 Day Parking Infraction","Parking Enforcement","10##","ASKIN","WARD 2","Phone","JAN 08, 2024 11:15:50 AM"
"3 Day Parking Infraction","Parking Enforcement","13##","DARLINGTON","WARD 6","Phone","JAN 04, 2024 09:15:34 AM"
"3 Day Parking Infraction","Parking Enforcement"," ","YPRES AVE & LINCOLN RD","WARD 4","Phone","JAN 04, 2024 03:20:18 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","GLADSTONE","WARD 4","Phone","JAN 08, 2024 12:48:28 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","KIRKLAND","WARD 7","Phone","JAN 05, 2024 01:40:34 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","Text","FEB 08, 2024 12:16:38 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","JAN 03, 2024 09:31:11 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","JAN 02, 2024 08:47:56 AM"
"3 Day Parking Infraction","Parking Enforcement","9##","MARION","WARD 4","Phone","FEB 29, 2024 01:51:16 PM"
"3 Day Parking Infraction","Parking Enforcement","9##","MARION","WARD 4","Phone","MAR 06, 2024 02:30:29 PM"
"3 Day Parking Infraction","Parking Enforcement","14##","BRUCE","WARD 3","Phone","JAN 23, 2024 01:00:23 PM"
"3 Day Parking Infraction","Parking Enforcement","9##","WINDSOR","WARD 3","Phone","JAN 31, 2024 02:09:38 PM"
"3 Day Parking Infraction","Parking Enforcement","11##","PRADO","WARD 6","Phone","JAN 31, 2024 02:25:53 PM"
"3 Day Parking Infraction","Parking Enforcement","14##","OLIVE","WARD 8","Phone","JAN 31, 2024 02:40:01 PM"
"3 Day Parking Infraction","Parking Enforcement","10##","PARENT","WARD 4","Phone","FEB 02, 2024 09:59:34 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","Phone","FEB 06, 2024 09:14:21 AM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","FEB 06, 2024 09:16:22 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","HALL","WARD 4","Phone","FEB 06, 2024 02:13:57 PM"
"3 Day Parking Infraction","Parking Enforcement","18##","MOY","WARD 4","Phone","FEB 06, 2024 03:34:56 PM"
"3 Day Parking Infraction","Parking Enforcement","15##","VICTORIA","WARD 3","Phone","FEB 07, 2024 10:02:20 AM"
"3 Day Parking Infraction","Parking Enforcement","23##","TRANQUILITY","WARD 7","Citizen Mobile Apps","FEB 07, 2024 10:57:05 AM"
"3 Day Parking Infraction","Parking Enforcement","27##","JOS ST LOUIS","WARD 8","Phone","FEB 07, 2024 01:43:05 PM"
"3 Day Parking Infraction","Parking Enforcement","16##","CHURCH","WARD 3","Phone","FEB 09, 2024 09:50:19 AM"
"3 Day Parking Infraction","Parking Enforcement","25##","LLOYD GEORGE","WARD 8","Phone","FEB 09, 2024 10:47:00 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 13, 2024 10:46:20 AM"
"3 Day Parking Infraction","Parking Enforcement","18##","MOY","WARD 4","Phone","FEB 08, 2024 03:30:58 PM"
"3 Day Parking Infraction","Parking Enforcement","16##","CHURCH","WARD 3","Phone","FEB 09, 2024 02:55:59 PM"
"3 Day Parking Infraction","Parking Enforcement","23##","KATELLA","WARD 7","Phone","MAR 08, 2024 02:38:13 PM"
"3 Day Parking Infraction","Parking Enforcement","43##","ASHFIELD","WARD 1","Phone","MAR 13, 2024 03:02:20 PM"
"3 Day Parking Infraction","Parking Enforcement","45##","SASSAFRAS","WARD 9","Phone","MAR 13, 2024 12:05:01 PM"
"3 Day Parking Infraction","Parking Enforcement","1##","OAK","WARD 3","Phone","MAR 15, 2024 01:19:33 PM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","MAR 19, 2024 09:22:24 AM"
"3 Day Parking Infraction","Parking Enforcement","22##","FOREST","WARD 4","E-Mail","MAR 19, 2024 09:30:14 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","WOODLAWN","WARD 4","E-Mail","MAR 19, 2024 09:24:16 AM"
"3 Day Parking Infraction","Parking Enforcement","30##","MEADOWBROOK","WARD 8","Phone","FEB 01, 2024 04:00:32 PM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","MAR 19, 2024 11:43:14 AM"
"3 Day Parking Infraction","Parking Enforcement","31##","SEVILLE","WARD 7","Phone","FEB 06, 2024 10:23:11 AM"
"3 Day Parking Infraction","Parking Enforcement","26##","LANGLOIS","WARD 10","Phone","FEB 08, 2024 08:17:45 AM"
"3 Day Parking Infraction","Parking Enforcement","6##","BRIDGE","WARD 2","Phone","MAR 19, 2024 08:57:58 AM"
"3 Day Parking Infraction","Parking Enforcement","45##","SASSAFRAS","WARD 9","Phone","MAR 19, 2024 09:08:02 AM"
"3 Day Parking Infraction","Parking Enforcement","21##","JANETTE","WARD 3","Phone","MAR 19, 2024 09:34:15 AM"
"3 Day Parking Infraction","Parking Enforcement","23##","AUBIN","WARD 5","Phone","MAR 19, 2024 10:08:30 AM"
"3 Day Parking Infraction","Parking Enforcement","11##","CAMPBELL","WARD 2","Phone","MAR 19, 2024 01:52:12 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","YORK","WARD 3","Phone","MAR 19, 2024 03:49:10 PM"
"3 Day Parking Infraction","Parking Enforcement","17##","ALBERT","WARD 5","E-Mail","MAR 05, 2024 03:07:21 PM"
"3 Day Parking Infraction","Parking Enforcement","30##","MEADOWBROOK","WARD 8","Phone","MAR 06, 2024 03:25:06 PM"
"3 Day Parking Infraction","Parking Enforcement","22##","WOODLAWN","WARD 4","Citizen Mobile Apps","MAR 08, 2024 11:50:12 AM"
"3 Day Parking Infraction","Parking Enforcement","14##","MOY","WARD 4","Phone","MAR 13, 2024 11:26:43 AM"
